Source Document: annual_report_text (1).txt
Total chunks: 1106
Chunking method: paragraph
Chunk size: 600 chars
Overlap size: 150 chars
Processing timestamp: 2025-09-05 13:22:33
==================================================

Chunk Summary:
Chunk 1: 484 chars
Chunk 2: 522 chars
Chunk 3: 416 chars
Chunk 4: 695 chars
Chunk 5: 587 chars
Chunk 6: 677 chars
Chunk 7: 517 chars
Chunk 8: 236 chars
Chunk 9: 556 chars
Chunk 10: 400 chars
Chunk 11: 597 chars
Chunk 12: 380 chars
Chunk 13: 635 chars
Chunk 14: 665 chars
Chunk 15: 584 chars
Chunk 16: 555 chars
Chunk 17: 646 chars
Chunk 18: 547 chars
Chunk 19: 219 chars
Chunk 20: 664 chars
Chunk 21: 651 chars
Chunk 22: 654 chars
Chunk 23: 600 chars
Chunk 24: 215 chars
Chunk 25: 521 chars
Chunk 26: 606 chars
Chunk 27: 600 chars
Chunk 28: 688 chars
Chunk 29: 552 chars
Chunk 30: 285 chars
Chunk 31: 485 chars
Chunk 32: 564 chars
Chunk 33: 644 chars
Chunk 34: 548 chars
Chunk 35: 599 chars
Chunk 36: 684 chars
Chunk 37: 484 chars
Chunk 38: 674 chars
Chunk 39: 671 chars
Chunk 40: 538 chars
Chunk 41: 609 chars
Chunk 42: 685 chars
Chunk 43: 623 chars
Chunk 44: 551 chars
Chunk 45: 659 chars
Chunk 46: 567 chars
Chunk 47: 672 chars
Chunk 48: 477 chars
Chunk 49: 576 chars
Chunk 50: 672 chars
Chunk 51: 671 chars
Chunk 52: 600 chars
Chunk 53: 533 chars
Chunk 54: 658 chars
Chunk 55: 600 chars
Chunk 56: 502 chars
Chunk 57: 331 chars
Chunk 58: 569 chars
Chunk 59: 575 chars
Chunk 60: 224 chars
Chunk 61: 633 chars
Chunk 62: 580 chars
Chunk 63: 521 chars
Chunk 64: 536 chars
Chunk 65: 607 chars
Chunk 66: 590 chars
Chunk 67: 500 chars
Chunk 68: 542 chars
Chunk 69: 642 chars
Chunk 70: 561 chars
Chunk 71: 684 chars
Chunk 72: 641 chars
Chunk 73: 681 chars
Chunk 74: 670 chars
Chunk 75: 632 chars
Chunk 76: 600 chars
Chunk 77: 318 chars
Chunk 78: 620 chars
Chunk 79: 576 chars
Chunk 80: 570 chars
Chunk 81: 596 chars
Chunk 82: 558 chars
Chunk 83: 600 chars
Chunk 84: 598 chars
Chunk 85: 441 chars
Chunk 86: 600 chars
Chunk 87: 601 chars
Chunk 88: 509 chars
Chunk 89: 654 chars
Chunk 90: 688 chars
Chunk 91: 680 chars
Chunk 92: 368 chars
Chunk 93: 665 chars
Chunk 94: 579 chars
Chunk 95: 623 chars
Chunk 96: 527 chars
Chunk 97: 674 chars
Chunk 98: 545 chars
Chunk 99: 233 chars
Chunk 100: 646 chars
Chunk 101: 565 chars
Chunk 102: 572 chars
Chunk 103: 615 chars
Chunk 104: 694 chars
Chunk 105: 649 chars
Chunk 106: 256 chars
Chunk 107: 636 chars
Chunk 108: 565 chars
Chunk 109: 499 chars
Chunk 110: 393 chars
Chunk 111: 497 chars
Chunk 112: 684 chars
Chunk 113: 614 chars
Chunk 114: 635 chars
Chunk 115: 345 chars
Chunk 116: 549 chars
Chunk 117: 491 chars
Chunk 118: 278 chars
Chunk 119: 631 chars
Chunk 120: 627 chars
Chunk 121: 549 chars
Chunk 122: 551 chars
Chunk 123: 685 chars
Chunk 124: 420 chars
Chunk 125: 600 chars
Chunk 126: 663 chars
Chunk 127: 276 chars
Chunk 128: 538 chars
Chunk 129: 596 chars
Chunk 130: 552 chars
Chunk 131: 504 chars
Chunk 132: 426 chars
Chunk 133: 207 chars
Chunk 134: 615 chars
Chunk 135: 600 chars
Chunk 136: 587 chars
Chunk 137: 681 chars
Chunk 138: 616 chars
Chunk 139: 574 chars
Chunk 140: 354 chars
Chunk 141: 637 chars
Chunk 142: 600 chars
Chunk 143: 469 chars
Chunk 144: 324 chars
Chunk 145: 647 chars
Chunk 146: 544 chars
Chunk 147: 617 chars
Chunk 148: 593 chars
Chunk 149: 537 chars
Chunk 150: 671 chars
Chunk 151: 693 chars
Chunk 152: 571 chars
Chunk 153: 625 chars
Chunk 154: 600 chars
Chunk 155: 398 chars
Chunk 156: 684 chars
Chunk 157: 543 chars
Chunk 158: 210 chars
Chunk 159: 556 chars
Chunk 160: 599 chars
Chunk 161: 600 chars
Chunk 162: 660 chars
Chunk 163: 623 chars
Chunk 164: 694 chars
Chunk 165: 307 chars
Chunk 166: 698 chars
Chunk 167: 622 chars
Chunk 168: 485 chars
Chunk 169: 599 chars
Chunk 170: 604 chars
Chunk 171: 600 chars
Chunk 172: 655 chars
Chunk 173: 538 chars
Chunk 174: 609 chars
Chunk 175: 277 chars
Chunk 176: 600 chars
Chunk 177: 243 chars
Chunk 178: 482 chars
Chunk 179: 657 chars
Chunk 180: 255 chars
Chunk 181: 212 chars
Chunk 182: 600 chars
Chunk 183: 225 chars
Chunk 184: 583 chars
Chunk 185: 577 chars
Chunk 186: 211 chars
Chunk 187: 537 chars
Chunk 188: 469 chars
Chunk 189: 542 chars
Chunk 190: 212 chars
Chunk 191: 638 chars
Chunk 192: 459 chars
Chunk 193: 518 chars
Chunk 194: 572 chars
Chunk 195: 599 chars
Chunk 196: 379 chars
Chunk 197: 533 chars
Chunk 198: 669 chars
Chunk 199: 600 chars
Chunk 200: 600 chars
Chunk 201: 594 chars
Chunk 202: 601 chars
Chunk 203: 519 chars
Chunk 204: 631 chars
Chunk 205: 522 chars
Chunk 206: 581 chars
Chunk 207: 652 chars
Chunk 208: 688 chars
Chunk 209: 614 chars
Chunk 210: 528 chars
Chunk 211: 657 chars
Chunk 212: 580 chars
Chunk 213: 559 chars
Chunk 214: 617 chars
Chunk 215: 613 chars
Chunk 216: 552 chars
Chunk 217: 485 chars
Chunk 218: 621 chars
Chunk 219: 674 chars
Chunk 220: 539 chars
Chunk 221: 655 chars
Chunk 222: 670 chars
Chunk 223: 355 chars
Chunk 224: 690 chars
Chunk 225: 690 chars
Chunk 226: 539 chars
Chunk 227: 493 chars
Chunk 228: 605 chars
Chunk 229: 673 chars
Chunk 230: 618 chars
Chunk 231: 655 chars
Chunk 232: 262 chars
Chunk 233: 677 chars
Chunk 234: 615 chars
Chunk 235: 677 chars
Chunk 236: 696 chars
Chunk 237: 626 chars
Chunk 238: 692 chars
Chunk 239: 643 chars
Chunk 240: 608 chars
Chunk 241: 349 chars
Chunk 242: 624 chars
Chunk 243: 655 chars
Chunk 244: 684 chars
Chunk 245: 693 chars
Chunk 246: 593 chars
Chunk 247: 697 chars
Chunk 248: 624 chars
Chunk 249: 651 chars
Chunk 250: 464 chars
Chunk 251: 676 chars
Chunk 252: 592 chars
Chunk 253: 571 chars
Chunk 254: 600 chars
Chunk 255: 377 chars
Chunk 256: 545 chars
Chunk 257: 656 chars
Chunk 258: 487 chars
Chunk 259: 516 chars
Chunk 260: 589 chars
Chunk 261: 599 chars
Chunk 262: 600 chars
Chunk 263: 667 chars
Chunk 264: 681 chars
Chunk 265: 695 chars
Chunk 266: 642 chars
Chunk 267: 684 chars
Chunk 268: 637 chars
Chunk 269: 640 chars
Chunk 270: 600 chars
Chunk 271: 661 chars
Chunk 272: 579 chars
Chunk 273: 329 chars
Chunk 274: 611 chars
Chunk 275: 517 chars
Chunk 276: 603 chars
Chunk 277: 602 chars
Chunk 278: 653 chars
Chunk 279: 600 chars
Chunk 280: 509 chars
Chunk 281: 600 chars
Chunk 282: 667 chars
Chunk 283: 598 chars
